Rank,Filter,MSE,SNR_imp(dB),Lag(smp),Roughness,Time(s/1k),EdgeRatio,Composite
1,Gauss,0.093115,3.20455,0.0,4.104333,9e-06,0.96564,0.960253
2,SMA,0.129476,2.901097,5.0,7.695754,3e-06,0.953722,0.870426
3,Butter,0.099587,1.902094,0.0,19.809281,0.000227,1.078035,0.787889
4,SavGol,0.116586,2.173849,5.0,23.252704,0.000112,1.014895,0.782479
5,WMA,0.159803,1.620816,5.0,13.615196,3e-06,0.990487,0.746217
6,EMA,0.153509,1.799635,4.0,20.727948,0.000153,1.027179,0.737519
7,Median,0.106482,2.882581,2.0,109.079419,1.6e-05,1.143363,0.700198
8,ALMA,0.224967,1.006985,15.99441,3.897219,1.4e-05,1.01971,0.535516
9,Kalman,0.124193,0.444937,1.366054,214.903095,0.007152,0.989891,0.533064
10,LOWESS,0.316671,0.159852,0.0,1.3e-05,0.020714,0.915782,0.5
